dataset,sweep,model,config,roc_mean,roc_std,pr_mean,pr_std,time_mean,time_std
spambase,IF_sample_size,IF,IF_s256,0.6402774359579032,0.004332167363946707,0.488378368315349,0.004888974370935437,0.01664867401123047,0.00017847888710662783
spambase,IF_sample_size,IF,IF_s512,0.6012244581418594,0.003023273406484205,0.458520404249413,0.003362649592650603,0.016581392288208006,0.00022077264845581115
spambase,Split_geometry_ndim,IF,ndim1_random,0.6402774359579032,0.004332167363946707,0.488378368315349,0.004888974370935437,0.016608119010925293,0.0003071744530173808
spambase,Split_geometry_ndim,EIF,ndim2_random,0.6141926018924379,0.00644401769483762,0.47467397597434113,0.006987545381633501,0.05150983333587646,0.001181238292125761
spambase,FCF_trees_and_samplesize,FCF,FCF_t100_s256,0.7192993710338452,0.0015709662611620911,0.5611183800264357,0.002152686020271717,0.20385775566101075,0.0037538960263905777
spambase,FCF_trees_and_samplesize,FCF,FCF_t200_s256,0.7262480305240092,0.0009481655504726884,0.5712341536325183,0.0015743568414274536,0.41661055088043214,0.008765376047971897
spambase,FCF_trees_and_samplesize,FCF,FCF_t200_s128,0.7456896667698062,0.0008826597122410416,0.6149451963118936,0.001839830327691548,0.29288520812988283,0.013263394880045404
spambase,FCF_trees_and_samplesize,FCF,FCF_t200_s512,0.7200160486079732,0.00047521825021213363,0.5747575154744443,0.0006041787220683702,0.5965516567230225,0.015146079205077474
spambase,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry1_pen0,0.4801190548731028,0.005797761319982294,0.37898651253640986,0.003120694091980231,0.049579429626464847,0.0012590033345806805
spambase,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen0,0.4964625204069762,0.001852637672139115,0.38013176203608146,0.00086380346702059,0.12389583587646484,0.0013047753886572446
spambase,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen1,0.4957344176958852,0.0017158379604461271,0.3808990417982169,0.0009599074123283877,0.12352604866027832,0.0014114353576197467
spambase,Scoring_metric,IF,IF_score_depth,0.6402774359579032,0.004332167363946707,0.488378368315349,0.004888974370935437,0.016584157943725586,0.0003857058814228092
