dataset,sweep,model,config,roc_mean,roc_std,pr_mean,pr_std,time_mean,time_std
pima,FCF_trees_and_samplesize,FCF,FCF_t200_s256,0.7042641791044775,0.00037954493158280086,0.5286695334186857,0.0003280823737329915,0.06225206851959229,0.001811208109725014
pima,FCF_trees_and_samplesize,FCF,FCF_t200_s128,0.7087257462686567,0.0005591247028001204,0.5387846208801927,0.0007175236584878208,0.03543117046356201,0.0006236914049792376
pima,FCF_trees_and_samplesize,FCF,FCF_t200_s512,0.6919078358208954,0.0004554930999856774,0.5167661414393019,0.00042304243844137825,0.12746422290802,0.005139621414367521
pima,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry1_pen0,0.6117376865671641,0.001112454866913735,0.42587450705590885,0.0007924291991390136,0.023343968391418456,0.0006221881810253319
pima,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen0,0.590244776119403,0.0010825953527082636,0.41292258503520884,0.00037069098090725843,0.12154340744018555,0.0019844626974539555
pima,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen1,0.5895283582089552,0.0009264155178643188,0.41154716049731244,0.0003785497408355376,0.12066159248352051,0.0007365986370447549
pima,Scoring_metric,IF,IF_score_depth,0.6949634328358208,0.0021215131653934825,0.5126758102383808,0.0017733861257948188,0.0044043540954589845,0.00011416082079587811
pima,Scoring_metric,IF,IF_score_density,0.6748089552238807,0.001458809971011149,0.5337365016502593,0.0011075851324504902,0.00438230037689209,6.387385024457232e-05
spambase,IF_depth_and_trees,IF,IF_t100_d8,0.6402774359579032,0.004332167363946707,0.488378368315349,0.004888974370935437,0.01637129783630371,0.00019681296443253157
spambase,IF_depth_and_trees,IF,IF_t200_d8,0.6701208828950169,0.0012504922808888768,0.5252758047994384,0.0016570140951787406,0.0373607873916626,0.0027218095811061952
spambase,IF_depth_and_trees,IF,IF_t100_dNone,0.7003990389827651,0.0022989429899537275,0.5343616723779444,0.0028440635318665226,0.11248939037322998,0.0020666286205618532
spambase,IF_depth_and_trees,IF,IF_t200_dNone,0.7133503269468631,0.0008226231592110418,0.554446087106481,0.001416048447141944,0.22295551300048827,0.004152645552182128
spambase,IF_sample_size,IF,IF_s64,0.6864207647462413,0.001749488638060266,0.5163762097197659,0.0019496432337830357,0.01747241020202637,0.00035241303680768265
spambase,IF_sample_size,IF,IF_s128,0.684469786596247,0.0021993899142541996,0.518125150033449,0.002670736111464323,0.017319202423095703,0.00041947374563941286
spambase,IF_sample_size,IF,IF_s256,0.6402774359579032,0.004332167363946707,0.488378368315349,0.004888974370935437,0.016510009765625,0.0002028889156686069
spambase,IF_sample_size,IF,IF_s512,0.6012244581418594,0.003023273406484205,0.458520404249413,0.003362649592650603,0.016928863525390626,0.0003241221760867854
spambase,Split_geometry_ndim,IF,ndim1_random,0.6402774359579032,0.004332167363946707,0.488378368315349,0.004888974370935437,0.016569232940673827,0.0002751787579015474
spambase,Split_geometry_ndim,EIF,ndim2_random,0.6141926018924379,0.00644401769483762,0.47467397597434113,0.006987545381633501,0.05266525745391846,0.0012240909454116048
spambase,FCF_trees_and_samplesize,FCF,FCF_t100_s256,0.7192993710338452,0.0015709662611620911,0.5611183800264357,0.002152686020271717,0.1924753189086914,0.0032079967102368254
spambase,FCF_trees_and_samplesize,FCF,FCF_t200_s256,0.7262480305240092,0.0009481655504726884,0.5712341536325183,0.0015743568414274536,0.41213767528533934,0.010390783944913284
spambase,FCF_trees_and_samplesize,FCF,FCF_t200_s128,0.7456896667698062,0.0008826597122410416,0.6149451963118936,0.001839830327691548,0.28786792755126955,0.009933824725183824
spambase,FCF_trees_and_samplesize,FCF,FCF_t200_s512,0.7200160486079732,0.00047521825021213363,0.5747575154744443,0.0006041787220683702,0.5887413501739502,0.017856603295113127
